,online_order,book_table,cuisines,approx_cost(for two people),listed_in(type),type,rate
7973,1,0,17,200.0,4,10,3.5
21260,0,0,14,200.0,4,8,3.0
15794,0,1,17,1600.0,0,4,4.7
10991,1,0,17,750.0,4,4,4.0
249,1,0,17,250.0,2,10,3.7
35617,1,0,17,700.0,2,10,4.0
23803,1,0,15,300.0,4,8,3.2
8649,1,1,17,600.0,2,4,4.1
34078,1,0,17,700.0,4,10,4.0
3469,1,1,17,800.0,4,4,4.2
30145,1,0,7,300.0,2,7,3.5
29785,1,0,20,40.0,2,8,3.6
45115,1,0,17,500.0,2,8,3.0
16203,1,0,17,200.0,2,8,4.1
48812,0,0,11,1500.0,5,10,2.0
26854,1,0,17,600.0,2,4,3.3
9129,1,0,17,300.0,2,6,3.9
46302,1,0,17,300.0,2,8,3.7
34364,0,0,17,200.0,4,8,3.3
6886,1,0,17,650.0,2,4,3.2
6173,0,0,17,1200.0,4,10,4.1
40019,1,0,17,400.0,3,10,3.7
2455,1,0,6,300.0,4,8,3.7
41814,1,0,17,500.0,4,8,3.2
38936,1,0,17,600.0,4,8,3.9
51387,1,0,17,450.0,4,7,3.7
24198,1,0,17,500.0,2,9,3.6
49073,1,0,14,500.0,2,4,4.1
44655,1,0,17,500.0,4,8,3.5
41370,1,0,17,150.0,2,8,4.0
48269,0,1,5,3000.0,4,10,4.3
5583,1,0,14,300.0,2,8,3.2
10837,1,0,15,400.0,4,8,3.7
1404,1,0,17,400.0,2,10,3.9
4851,1,0,17,200.0,4,3,4.1
28236,0,0,17,300.0,3,7,4.0
17010,1,1,17,600.0,4,4,3.8
11567,0,1,17,2000.0,0,10,3.9
38832,0,0,17,800.0,4,4,3.4
35675,1,1,17,1100.0,2,4,4.1
43086,0,0,0,200.0,3,0,3.4
22445,0,0,17,400.0,2,9,3.9
34421,1,0,14,200.0,4,8,3.7
20122,1,0,17,600.0,2,4,3.8
30635,0,0,16,350.0,2,8,3.3
8608,1,0,17,200.0,2,2,3.9
8411,1,0,17,250.0,2,9,4.1
50922,0,0,2,200.0,2,8,3.0
34809,1,0,17,800.0,1,3,4.2
34187,1,0,14,350.0,4,8,3.4
2040,1,0,17,500.0,4,4,3.1
36190,0,0,10,400.0,2,8,3.5
46386,0,0,17,300.0,2,8,3.0
871,1,1,17,1000.0,0,4,4.1
42234,0,1,17,1000.0,1,3,4.1
4010,1,0,17,300.0,2,8,3.8
24397,1,0,17,300.0,2,8,3.9
45175,1,0,17,250.0,2,10,3.7
15658,1,0,6,150.0,4,8,3.5
47717,1,1,17,1200.0,2,4,3.8
494,0,0,12,400.0,3,7,4.3
34170,0,0,17,300.0,4,10,3.3
36074,0,0,17,200.0,2,8,3.9
9660,0,0,17,450.0,2,8,3.3
5831,1,0,7,300.0,3,7,4.0
20538,0,0,17,400.0,2,8,2.9
13850,0,0,4,300.0,2,8,3.1
25498,1,0,18,300.0,2,9,3.5
7920,1,0,17,700.0,4,4,4.0
16068,0,0,17,200.0,2,8,3.2
46203,1,0,17,350.0,2,8,4.1
27440,1,0,17,550.0,2,4,3.5
26931,1,0,17,500.0,2,8,3.7
581,0,0,15,700.0,4,10,3.7
26127,1,0,17,800.0,4,4,4.4
42249,1,0,17,800.0,1,3,3.7
3196,1,0,17,300.0,3,10,3.3
44566,0,0,17,200.0,4,8,3.5
3492,0,1,17,1000.0,4,4,4.0
17677,1,0,17,300.0,2,8,3.9
47700,0,0,3,600.0,2,3,3.2
19896,1,0,19,500.0,2,8,3.4
20168,1,0,3,650.0,2,3,3.8
17458,0,0,17,200.0,4,8,3.3
12896,0,0,18,150.0,4,8,3.9
12493,0,0,17,150.0,3,10,3.8
26332,0,0,1,650.0,4,8,3.8
1005,1,0,17,450.0,2,9,2.9
8730,1,0,17,400.0,2,10,4.0
30557,0,0,17,300.0,2,9,3.7
20104,1,0,17,400.0,2,8,3.7
48306,1,0,17,1300.0,4,4,3.8
33271,1,0,17,800.0,2,4,2.5
31228,1,0,10,250.0,4,8,4.1
15497,0,0,17,200.0,4,8,3.7
22142,1,0,17,250.0,2,8,3.5
41130,1,0,17,250.0,2,8,3.4
28559,1,0,17,250.0,4,10,4.0
17708,1,0,14,150.0,2,8,3.9
27997,0,0,17,400.0,2,6,3.2
26536,0,0,17,600.0,1,3,4.1
23161,0,1,17,1500.0,4,10,4.0
1456,1,0,17,750.0,2,3,4.0
29487,1,0,13,200.0,2,10,3.9
30813,1,0,17,250.0,2,8,3.7
47607,1,0,12,250.0,2,7,3.1
14253,0,0,4,500.0,4,4,2.9
35458,1,0,17,350.0,2,8,3.1
44128,1,0,17,700.0,2,4,4.0
7506,1,0,17,550.0,2,4,3.3
47219,0,1,17,3400.0,0,10,4.3
51614,0,0,17,300.0,4,8,3.2
13336,0,1,17,1800.0,6,5,4.1
44021,1,0,17,300.0,2,8,3.5
20613,1,0,17,700.0,2,4,3.6
29264,0,0,11,1200.0,5,1,3.5
36975,1,0,14,300.0,4,8,3.9
13936,1,0,13,300.0,2,10,3.6
30088,1,0,15,200.0,2,8,3.0
10208,1,0,1,500.0,3,0,3.9
29009,1,0,17,800.0,4,4,3.4
12900,1,0,17,300.0,4,8,3.6
40936,1,0,17,450.0,2,8,3.5
2222,1,0,15,300.0,4,8,2.4
29600,1,0,17,400.0,2,6,3.9
37374,0,0,2,200.0,4,10,3.1
20325,0,0,3,150.0,2,3,4.0
15037,1,0,17,500.0,2,8,3.4
27802,0,1,17,1000.0,2,10,4.0
28599,1,0,17,800.0,4,4,3.6
32881,1,0,17,350.0,2,8,3.8
5069,1,0,3,300.0,1,3,3.4
6076,1,1,17,1500.0,4,4,4.3
37856,1,0,17,100.0,2,2,3.8
4370,0,0,17,300.0,2,7,3.9
2649,1,0,17,300.0,2,2,4.5
32825,1,1,17,1000.0,2,5,4.4
24963,0,0,17,150.0,4,8,3.3
21651,0,0,17,200.0,4,8,3.4
14461,0,0,14,200.0,4,8,3.2
22488,1,0,17,600.0,2,8,2.9
16316,1,0,17,550.0,2,4,3.6
31630,0,0,4,150.0,4,8,3.2
8103,0,0,18,250.0,4,8,3.5
46544,1,0,17,1500.0,2,10,3.9
30696,0,0,16,400.0,2,8,3.4
30924,1,1,17,600.0,3,3,4.1
36699,0,1,17,1200.0,4,10,4.5
17637,0,1,17,2200.0,1,3,3.8
43150,1,1,17,1300.0,3,10,4.7
29446,1,0,17,800.0,2,4,3.9
26055,0,0,10,200.0,4,8,3.5
50343,1,0,17,200.0,2,3,3.5
29844,1,0,17,1000.0,2,4,4.1
26054,0,0,17,350.0,4,10,3.7
18075,1,1,17,800.0,2,4,3.9
324,1,0,2,200.0,2,8,3.6
23748,1,0,17,550.0,4,8,3.1
10247,0,0,7,200.0,3,7,3.8
48901,1,0,17,400.0,2,6,4.3
26893,1,0,17,250.0,2,8,3.2
41473,0,0,17,400.0,3,10,3.2
39815,0,1,15,950.0,2,4,4.0
47800,0,0,4,500.0,2,8,3.9
16872,0,0,17,200.0,3,8,4.1
8941,1,0,17,500.0,2,4,3.7
12376,1,0,17,400.0,3,10,4.0
8236,1,0,14,600.0,4,4,3.0
48611,1,0,14,350.0,4,8,3.8
42331,1,0,17,550.0,2,10,4.0
37923,1,0,17,400.0,2,2,4.1
21976,1,0,17,500.0,2,4,2.9
12756,0,0,17,2500.0,4,10,3.9
9316,1,0,17,550.0,2,4,4.0
51150,1,0,15,400.0,4,4,3.6
6228,0,0,17,650.0,4,4,2.5
36656,0,0,17,200.0,4,8,3.8
29601,1,1,17,650.0,2,3,4.2
17694,1,1,17,500.0,2,4,3.4
47527,1,0,17,600.0,2,4,3.9
24401,0,0,17,600.0,2,4,3.9
44226,1,0,17,350.0,2,8,3.9
38045,1,0,17,700.0,2,8,4.4
40595,1,0,1,200.0,2,9,3.9
522,0,0,1,400.0,3,0,3.4
31189,1,0,10,300.0,4,8,4.2
35404,1,0,1,300.0,2,10,3.1
43734,1,0,17,700.0,4,4,3.9
17863,1,0,17,300.0,2,8,3.9
2585,1,0,18,100.0,2,8,3.6
22478,1,1,14,900.0,2,4,3.9
34452,1,0,17,600.0,4,4,3.6
31780,0,0,10,250.0,4,8,3.8
47295,0,0,17,900.0,1,10,4.3
33133,1,0,15,600.0,2,8,3.5
40519,0,0,17,600.0,0,4,3.5
50404,1,0,17,250.0,2,8,4.5
36485,1,1,17,700.0,3,3,4.3
32517,1,0,17,500.0,2,10,4.5
20546,0,0,18,300.0,2,8,3.5
21578,1,0,10,150.0,4,8,3.4
12437,0,0,7,200.0,3,7,3.7
33945,1,1,17,1200.0,4,5,4.6
7515,1,0,17,500.0,2,4,3.5
25737,0,0,16,600.0,2,4,3.4
50472,1,0,17,700.0,2,10,3.8
5344,1,0,17,500.0,2,8,3.4
30949,0,0,17,700.0,3,3,4.1
20398,1,1,17,1400.0,2,4,4.4
49290,1,0,17,200.0,2,6,3.3
45389,0,0,18,200.0,2,8,3.8
51291,0,0,17,250.0,4,2,3.3
34354,1,0,6,300.0,4,8,3.2
15162,0,0,2,300.0,2,8,2.5
49059,1,0,14,400.0,2,8,3.7
7942,1,0,17,1000.0,4,3,3.4
10491,0,0,11,1200.0,4,1,3.5
27264,1,0,17,300.0,2,2,3.8
4811,1,1,17,1300.0,4,4,4.3
6955,1,0,14,400.0,2,6,4.0
33495,0,0,18,200.0,2,8,3.6
22405,1,0,17,300.0,2,8,3.9
37694,0,1,17,3000.0,0,10,4.1
11754,1,0,17,400.0,2,8,3.6
21771,1,1,17,1000.0,0,4,4.3
38583,0,1,17,2200.0,4,10,4.6
25841,0,0,2,300.0,2,8,3.3
11151,0,1,19,1300.0,4,1,3.8
4766,0,0,18,250.0,4,8,3.6
23306,0,0,18,300.0,4,8,4.1
35144,1,0,17,400.0,2,2,4.0
50275,1,0,18,200.0,2,8,3.7
44554,1,0,18,400.0,4,8,3.6
13089,1,0,14,300.0,4,8,3.5
28822,0,0,2,300.0,4,8,3.3
29231,0,1,17,1000.0,5,10,4.0
17610,1,0,17,500.0,1,3,2.8
18627,0,0,17,200.0,3,8,3.4
33266,1,0,17,800.0,2,4,3.4
15739,0,0,15,400.0,4,8,3.0
14570,0,0,11,1000.0,5,1,3.0
49406,0,0,12,200.0,2,7,4.1
23497,0,0,15,750.0,4,4,2.2
21560,0,0,17,500.0,4,3,3.6
8353,1,0,17,1200.0,1,3,4.1
19775,1,0,18,300.0,2,8,3.6
5436,1,0,14,300.0,2,8,3.2
14028,0,0,1,400.0,3,0,3.2
49038,1,0,17,550.0,2,4,3.5
27858,0,0,17,200.0,2,8,3.2
12127,1,0,3,700.0,2,3,3.8
19789,1,0,17,300.0,2,8,3.9
31909,0,0,17,250.0,4,8,3.3
18662,0,1,17,1400.0,4,10,4.4
45107,1,0,17,800.0,2,4,3.7
8566,1,0,17,300.0,2,6,3.4
47844,0,0,15,1000.0,2,4,3.0
20335,1,0,17,400.0,2,8,3.5
37590,0,1,17,1100.0,5,5,4.4
32911,1,0,17,200.0,2,2,3.1
48681,0,0,15,200.0,4,8,3.2
43716,1,1,17,800.0,4,4,4.2
39351,0,1,17,1000.0,5,10,4.1
11907,1,0,17,800.0,2,10,3.9
42284,0,0,17,1100.0,1,10,4.0
42149,0,1,17,1500.0,5,10,4.0
8638,1,0,17,300.0,2,8,3.6
17901,1,0,7,300.0,2,7,4.0
14702,1,0,17,800.0,2,4,4.1
40227,1,0,17,500.0,4,10,2.4
47741,1,0,16,500.0,2,6,4.0
35029,1,0,17,600.0,2,4,3.6
27242,1,0,17,700.0,2,4,2.8
3336,0,0,18,250.0,4,8,4.5
34383,0,0,17,300.0,4,8,3.0
48833,0,1,17,2800.0,5,1,3.7
686,1,0,17,350.0,4,8,3.5
35957,1,1,17,900.0,2,3,4.0
31558,0,0,18,300.0,4,8,3.6
23179,0,1,17,900.0,4,4,3.9
51050,0,1,14,1500.0,4,4,4.4
40102,1,1,17,1400.0,4,5,4.8
29826,1,1,17,450.0,2,8,4.3
